rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0010.jpg,4.0,0.733,0.966,0.1667,1.0,1,1,False,True
2,frame_0290.jpg,116.0,0.696,0.6719,0.6667,0.8,4,4,False,True
3,frame_0073.jpg,29.2,0.6877,0.5754,0.6667,1.0,6,4,False,True
4,frame_0015.jpg,6.0,0.6814,0.6628,0.5,1.0,4,3,False,True
5,frame_0079.jpg,31.6,0.6642,0.6084,0.6667,0.8,7,4,False,True
6,frame_0129.jpg,51.6,0.6639,0.6758,0.5,0.88,5,3,False,True
7,frame_0169.jpg,67.6,0.6456,0.5832,0.8333,0.52,6,5,False,True
8,frame_0072.jpg,28.8,0.6413,0.5826,0.5,1.0,7,3,False,False
9,frame_0071.jpg,28.4,0.6357,0.4713,0.6667,1.0,6,4,False,False
10,frame_0074.jpg,29.6,0.6318,0.4636,0.6667,1.0,6,4,False,False
11,frame_0011.jpg,4.4,0.6287,0.5574,0.5,1.0,3,3,False,False
12,frame_0077.jpg,30.8,0.6208,0.4895,0.6667,0.88,6,4,False,False
13,frame_0005.jpg,2.0,0.6181,0.4362,0.6667,1.0,5,4,False,True
14,frame_0284.jpg,113.6,0.6169,0.5099,0.8333,0.56,5,5,False,True
15,frame_0070.jpg,28.0,0.6157,0.4314,0.6667,1.0,6,4,False,False
16,frame_0328.jpg,131.2,0.6127,0.5933,1.0,0.08,11,6,False,True
17,frame_0209.jpg,83.6,0.606,0.724,0.3333,0.72,3,2,False,True
18,frame_0294.jpg,117.6,0.6055,0.5229,0.6667,0.72,6,4,False,False
19,frame_0001.jpg,0.4,0.6044,0.5088,0.5,1.0,7,3,False,False
20,frame_0008.jpg,3.2,0.6039,0.5079,0.5,1.0,3,3,False,False
21,frame_0123.jpg,49.2,0.6034,0.5507,0.6667,0.64,6,4,False,True
22,frame_0078.jpg,31.2,0.5944,0.4528,0.6667,0.84,7,4,False,False
23,frame_0230.jpg,92.0,0.5941,0.6402,0.8333,0.12,7,5,False,False
24,frame_0201.jpg,80.4,0.5923,0.5605,0.6667,0.56,4,4,False,False
25,frame_0000.jpg,0.0,0.5901,0.4803,0.5,1.0,7,3,False,False
26,frame_0327.jpg,130.8,0.5825,0.6491,0.8333,0.04,9,5,False,False
27,frame_0376.jpg,150.4,0.5811,0.6982,0.6667,0.16,6,4,False,False
28,frame_0397.jpg,158.8,0.5682,0.5564,0.8333,0.2,8,5,False,False
29,frame_0291.jpg,116.4,0.5673,0.4986,0.5,0.84,5,3,False,False
30,frame_0282.jpg,112.8,0.5613,0.5306,0.6667,0.48,6,4,False,False
31,frame_0374.jpg,149.6,0.5524,0.5248,0.8333,0.2,6,5,False,False
32,frame_0175.jpg,70.0,0.5506,0.5892,0.6667,0.28,6,4,False,False
33,frame_0295.jpg,118.0,0.5481,0.5242,0.5,0.68,6,3,False,False
34,frame_0377.jpg,150.8,0.5474,0.6468,0.6667,0.12,10,4,False,False
35,frame_0285.jpg,114.0,0.5463,0.4526,0.6667,0.6,5,4,False,False
36,frame_0128.jpg,51.2,0.5455,0.455,0.5,0.84,7,3,False,False
37,frame_0286.jpg,114.4,0.5455,0.5351,0.5,0.64,7,3,False,False
38,frame_0210.jpg,84.0,0.5302,0.5885,0.3333,0.68,3,2,False,False
39,frame_0075.jpg,30.0,0.5241,0.3642,0.5,0.96,4,3,False,False
40,frame_0296.jpg,118.4,0.5241,0.4921,0.5,0.64,6,3,False,False
41,frame_0018.jpg,7.2,0.523,0.3459,0.5,1.0,4,3,False,False
42,frame_0024.jpg,9.6,0.5208,0.5416,0.1667,1.0,1,1,False,False
43,frame_0124.jpg,49.6,0.5196,0.4672,0.5,0.68,8,3,False,False
44,frame_0021.jpg,8.4,0.5195,0.339,0.5,1.0,4,3,False,False
45,frame_0033.jpg,13.2,0.5189,0.3377,0.5,1.0,7,3,False,False
46,frame_0387.jpg,154.8,0.5187,0.4574,0.8333,0.2,10,5,False,False
47,frame_0031.jpg,12.4,0.5174,0.3349,0.5,1.0,6,3,False,False
